TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,TOTFZ,MEANPOT,EPSZ,MEANSHR,SHRGT45,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,TOTFY,MEANJZD,MEANALP,TOTFX,EPSY,EPSX,R_VALUE,CRVAL1,CRLN_OBS,CRLT_OBS,CRVAL2,HC_ANGLE,SPEI,LAT_MIN,LON_MIN,LAT_MAX,LON_MAX,DateTime,IS_TMFI
0.216962906,845380.1942,1.29e+19,10810582410.0,0.059282831,7615792709.0,4.02e+18,-5.52e+20,645.8637561,-0.49197297,29.8493823,0.0,30.8380953,39.57806957,40.96640648,16.67391457,0.003952189,2.48e+20,-0.933730361,0.094003907,3.74e+20,-0.220594191,-0.333340073,0.0,73.043839,104.30999,3.340544,16.20145,33.55844837,True,15.676292,-32.006207,15.865026,-31.468868,2010-07-05 12:36:00,True
0.027179545,179001.9491,2.96e+18,1195955798.0,0.027179545,4896625113.0,6.36e+17,-6.7e+19,1115.544745,-0.281753468,33.3307016,0.0,36.52674623,58.18255467,61.60419029,24.91072194,-0.013589772,7e+19,4.502694282,-0.236924467,8.89e+19,-0.29428065,-0.373961031,0.0,73.045624,104.199722,3.340791,16.20145,33.45582218,True,15.646898,-31.930206,15.868051,-31.350864,2010-07-05 12:48:00,True
2.075438094,11681595.98,1.39e+20,67446798770.0,0.436623546,35783648836.0,3.2e+19,-8.32e+21,1432.091174,-0.536288504,28.05069876,8.219178082,31.03082802,99.83437799,98.24473716,40.36758306,0.005981144,3.53e+21,-0.901520062,0.048658889,4.93e+21,-0.227515007,-0.317580191,0.0,73.047417,104.089417,3.341038,16.20145,33.35320825,True,15.498679,-32.170204,16.061403,-30.669798,2010-07-05 13:00:00,True
8.668628429,49461763.77,5.48e+20,249118000000.0,0.045390105,64441560129.0,1.24e+20,-3.6e+22,1540.28521,-0.548384163,27.68494308,6.71641791,30.85686275,99.58474679,97.9016267,39.69062615,0.000169366,1.34e+22,-0.43977406,0.00118534,2.03e+22,-0.20402543,-0.308988008,0.0,73.049164,103.979065,3.341289,16.20145,33.25064595,True,15.295351,-32.630085,16.284342,-30.144688,2010-07-05 13:12:00,True
8.738508474,59696852.09,5.22e+20,243017000000.0,0.637448581,101532000000.0,1.47e+20,-4.82e+22,1337.906542,-0.607715749,24.96451288,3.741496599,28.77803451,103.444997,103.062409,37.63293487,0.002168192,1.5e+22,-0.495470377,0.013283559,2.19e+22,-0.189511678,-0.27588283,0.0,73.050873,103.868675,3.341544,16.20145,33.1481367,True,15.264153,-32.518421,16.287842,-29.812044,2010-07-05 13:24:00,True
11.38388916,63757769.82,5.6e+20,313415000000.0,0.417094957,114936000000.0,1.6e+20,-5.19e+22,1286.024013,-0.612437352,24.33209907,3.658536585,28.8508092,101.6241493,100.9071383,38.77650039,-0.001271631,1.41e+22,0.644497382,-0.008114261,2.37e+22,-0.166036314,-0.280334054,0.0,73.052483,103.758232,3.341805,16.20145,33.04572227,True,15.236265,-32.442379,16.291218,-29.665405,2010-07-05 13:36:00,True
12.35063156,70806748.69,6.39e+20,340785000000.0,1.235234705,191051000000.0,1.78e+20,-5.79e+22,1335.515527,-0.615277127,24.7833527,4.722222222,28.58180386,111.1262471,109.4613587,41.8686135,0.003431208,1.58e+22,-0.918065647,0.021600201,2.58e+22,-0.167792776,-0.274737672,0.0,73.054062,103.647758,3.342075,16.20145,32.94336008,True,15.208167,-32.328529,16.294384,-29.549957,2010-07-05 13:48:00,True
11.5223675,70520454.71,6.59e+20,312811000000.0,1.069808735,199089000000.0,1.7e+20,-5.66e+22,1495.447621,-0.60423001,25.34415864,5.421686747,28.92719263,115.6135969,114.5505438,42.59541247,0.003222315,1.59e+22,-0.954615193,0.018912738,2.63e+22,-0.170278408,-0.280351469,0.0,73.055634,103.537231,3.342354,16.20145,32.84100866,True,15.211683,-32.216137,16.297956,-29.399656,2010-07-05 14:00:00,True
12.74915272,78215566.4,7.27e+20,369363000000.0,2.435599983,396357000000.0,1.92e+20,-6.09e+22,1378.457309,-0.586338261,25.65294743,3.778337531,30.41323422,109.3481546,107.4377556,42.14336396,0.006135013,1.72e+22,-1.524919056,0.039259699,2.99e+22,-0.165583396,-0.287987338,0.0,73.057167,103.426666,3.342645,16.20145,32.73871034,True,15.188846,-32.103714,16.310993,-29.191689,2010-07-05 14:12:00,True
13.59276208,82320094.73,8.24e+20,390194000000.0,2.141174794,261958000000.0,2.03e+20,-6.22e+22,1443.807601,-0.568592727,27.08494435,7.906976744,30.68963846,108.7523735,105.9951625,42.86940119,0.004979476,1.98e+22,-0.687762068,0.033163935,3.1e+22,-0.180687115,-0.283793426,0.0,73.058662,103.316063,3.342949,16.20145,32.63646435,True,15.19206,-31.991802,16.315367,-29.04212,2010-07-05 14:24:00,True
13.81253111,82809454.3,7.67e+20,390291000000.0,2.689179896,322878000000.0,2.02e+20,-6.64e+22,1408.537011,-0.603457003,25.20308003,5.365853659,29.17185248,116.1106931,113.2501456,44.45240949,0.006558975,1.86e+22,-1.0330281,0.040505371,3.2e+22,-0.169081889,-0.290822332,0.0,73.060127,103.205429,3.343267,16.20145,32.5342699,True,15.163649,-31.880716,16.341677,-28.903194,2010-07-05 14:36:00,True
